folder,size_gb
frontend,0.159
services,0.002
.cursorrules,0.0
.docker-build-state.json,0.0
.gitattributes,0.0
.gitignore,0.0
audit_project.py,0.0
dev-live.ps1,0.0
dev-live.sh,0.0
dev-stack.ps1,0.0
.env.development,0.0
.env.production,0.0
docker-compose.prod.yml,0.0
docker-compose.dev.yml,0.0
docker-compose.staging.yml,0.0
docker-compose.yml,0.0
README.md,0.0
up-all-active.sh,0.0
legacy-compose-cleanup.ps1,0.0
legacy-compose-cleanup.sh,0.0
up-super-fast.sh,0.0
up-super-fast.ps1,0.0
.cargo,0.0
.docker,0.0
ai,0.0
.runtime,0.0
docs,0.0
infrastructure,0.0
